gene_id	gene_name	ctenidia	gonad	heart	juvenile	larvae
PGEN_.00g001900	PGEN_.00g001900	0.932972	0.562152	2.305676	3.5684	2.238246
PGEN_.00g001910	PGEN_.00g001910	0	0	0	0	0
PGEN_.00g001920	PGEN_.00g001920	3.742482	6.712247	3.870564	6.154173	4.722905
PGEN_.00g001930	PGEN_.00g001930	0.528378	0.273621	0.459581	0.712324	0.255226
PGEN_.00g001940	PGEN_.00g001940	2.327527	2.008939	1.899056	4.309754	3.498207
PGEN_.00g001950	PGEN_.00g001950	3.595145	0.649476	2.34057	6.566204	3.449708
PGEN_.00g001960	PGEN_.00g001960	5.47275	3.377741	2.953189	6.872981	5.722822
PGEN_.00g001970	PGEN_.00g001970	6.250386	5.838552	1.419921	0.334729	0
PGEN_.00g001980	PGEN_.00g001980	3.551798	0	0.144319	0.099764	0
PGEN_.00g001990	PGEN_.00g001990	125.950128	96.191679	136.955496	71.881046	101.624364
PGEN_.00g002000	PGEN_.00g002000	0	0.235058	0	0	0
PGEN_.00g002010	PGEN_.00g002010	0	0	0	0	0
PGEN_.00g002020	PGEN_.00g002020	0	0	0.417499	0	0
PGEN_.00g002030	PGEN_.00g002030	0	0	0.606693	0.210435	0
PGEN_.00g002040	PGEN_.00g002040	22.597567	5.33812	6.063278	7.75408	0
PGEN_.00g002050	PGEN_.00g002050	76.576594	22.082174	11.057177	15.21032	0
PGEN_.00g002060	PGEN_.00g002060	56.219333	1.085905	0.03178	21.964914	0.973473
PGEN_.00g002070	PGEN_.00g002070	0	0	0.068088	5.875474	0
PGEN_.00g002080	PGEN_.00g002080	0	0	0	0	0
PGEN_.00g002090	PGEN_.00g002090	44.908848	17.008152	3.182423	39.913162	41.439409
PGEN_.00g002100	PGEN_.00g002100	8.054128	49.027061	84.408818	22.254913	22.086741
PGEN_.00g002110	PGEN_.00g002110	4.834975	0	0	7.429	0
PGEN_.00g002120	PGEN_.00g002120	0	0	0	4.79155	0
PGEN_.00g002130	PGEN_.00g002130	11.680295	16.534397	25.248978	10.315705	5.464236
PGEN_.00g002140	PGEN_.00g002140	1.593793	3.46665	1.86904	2.652371	3.06091
PGEN_.00g002150	PGEN_.00g002150	0	0	0.022674	0.015443	0.784729
PGEN_.00g002160	PGEN_.00g002160	0	0	0	5.747746	6.665778
PGEN_.00g002170	PGEN_.00g002170	0	0	0.037342	20.196532	25.76931
PGEN_.00g002180	PGEN_.00g002180	0	0	0.243848	0.04174	0
PGEN_.00g002190	PGEN_.00g002190	0	0	0	0.046388	0
PGEN_.00g002200	PGEN_.00g002200	0	0	0.174614	0.060471	0
PGEN_.00g002210	PGEN_.00g002210	8.234045	0	0.086379	6.723787	0
PGEN_.00g002220	PGEN_.00g002220	0	0	0	0	0
PGEN_.00g002230	PGEN_.00g002230	8.51835	3.502343	0.132326	13.351079	17.887728
PGEN_.00g002240	PGEN_.00g002240	0	0	0	0	0
PGEN_.00g002250	PGEN_.00g002250	0	0	0	0	0
PGEN_.00g002260	PGEN_.00g002260	0	0	0	0	0
PGEN_.00g002270	PGEN_.00g002270	0	0	0	0.497136	0
PGEN_.00g002280	PGEN_.00g002280	0	0	0	0	0
PGEN_.00g002290	PGEN_.00g002290	6.076805	0.101808	0.810119	60.840695	66.69537
PGEN_.00g002300	PGEN_.00g002300	1.93794	76.222347	6.347562	21.542848	18.847149
PGEN_.00g002310	PGEN_.00g002310	1.637571	3.365657	9.905722	0.91897	0
PGEN_.00g002320	PGEN_.00g002320	0	0	0	0	0
PGEN_.00g002330	PGEN_.00g002330	0	0	0.540017	9.945973	1.801768
PGEN_.00g002340	PGEN_.00g002340	0	0	0	0	0
PGEN_.00g002350	PGEN_.00g002350	0	0	0.801935	0	0
PGEN_.00g002360	PGEN_.00g002360	0	0	0	0	0
PGEN_.00g002370	PGEN_.00g002370	312.578492	317.262478	613.560179	250.563995	249.943736
PGEN_.00g002380	PGEN_.00g002380	29.847768	12.101711	8.182767	34.282312	31.703417
PGEN_.00g002390	PGEN_.00g002390	0.177967	1.398029	0.682419	0.377735	0
PGEN_.00g002400	PGEN_.00g002400	3.356737	3.532794	4.086129	6.663522	2.144551
PGEN_.00g002410	PGEN_.00g002410	5.564978	0	0.099576	2.013526	0.371078
PGEN_.00g002420	PGEN_.00g002420	23.306245	18.385645	16.812878	18.648894	25.0515
PGEN_.00g002430	PGEN_.00g002430	14.693462	4.988468	0.182431	13.738719	11.910366
PGEN_.00g002440	PGEN_.00g002440	19.814027	1.649435	1.593231	24.338388	11.793813
PGEN_.00g002450	PGEN_.00g002450	5.42792	13.51066	6.509119	5.162202	5.818802
PGEN_.00g002460	PGEN_.00g002460	1.911792	22.679958	4.923119	5.765638	8.219217
PGEN_.00g002470	PGEN_.00g002470	2.743118	6.592208	0.817926	1.271439	6.212638
PGEN_.00g002480	PGEN_.00g002480	12.603135	15.354786	7.852213	16.68889	16.875412
PGEN_.00g002490	PGEN_.00g002490	14.388973	0	18.961313	26.548563	29.393022
PGEN_.00g002500	PGEN_.00g002500	4.416982	13.564816	8.762724	9.321444	16.601839
PGEN_.00g002510	PGEN_.00g002510	17.188574	7.826527	0.262878	26.715958	10.316535
PGEN_.00g002520	PGEN_.00g002520	1.60154	0	0.260076	1.720233	1.864738
PGEN_.00g002530	PGEN_.00g002530	0	0	0.21214	0.662388	1.143152
PGEN_.00g002540	PGEN_.00g002540	0	0	0	0	0
PGEN_.00g002550	PGEN_.00g002550	0	0	0	0	0
PGEN_.00g002560	PGEN_.00g002560	18.487846	0	0.11345	5.787827	0
PGEN_.00g002570	PGEN_.00g002570	3.388343	2.908329	2.358811	0.993672	0.60963
PGEN_.00g002580	PGEN_.00g002580	47.375839	13.541808	6.342346	26.861804	0.364721
PGEN_.00g002590	PGEN_.00g002590	13.925754	3.402601	5.60958	10.120067	1.856804
PGEN_.00g002600	PGEN_.00g002600	0	0	0	0	0
PGEN_.00g002610	PGEN_.00g002610	0.372117	6.721663	1.837507	1.147271	3.682207
PGEN_.00g002620	PGEN_.00g002620	0	0	0	0	0
PGEN_.00g002630	PGEN_.00g002630	0	0	0	0	0
PGEN_.00g002640	PGEN_.00g002640	0.062834	0	0	2.345036	9.237432
PGEN_.00g002650	PGEN_.00g002650	1.335367	1.209444	0.286554	2.138869	5.074832
PGEN_.00g002660	PGEN_.00g002660	0	0	0	0	0
PGEN_.00g002670	PGEN_.00g002670	0	0	0	0	2.21451
PGEN_.00g002680	PGEN_.00g002680	1.096061	0.270823	3.279291	176.625969	12.228217
PGEN_.00g002690	PGEN_.00g002690	0	0	0	0	0
PGEN_.00g002700	PGEN_.00g002700	29.828136	33.561597	27.702883	37.77444	47.539239
PGEN_.00g002710	PGEN_.00g002710	22.924714	55.421758	28.036402	35.073323	41.882585
PGEN_.00g002720	PGEN_.00g002720	7.653341	6.919872	10.634627	11.910043	9.014028
PGEN_.00g002730	PGEN_.00g002730	3.880685	0.099027	2.857962	3.726288	2.525543
PGEN_.00g002740	PGEN_.00g002740	0	0	0	0	0
PGEN_.00g002750	PGEN_.00g002750	1.286016	1.134048	0.117722	3.832729	2.689435
PGEN_.00g002760	PGEN_.00g002760	6.863006	15.991069	11.559036	7.594147	10.914901
PGEN_.00g002770	PGEN_.00g002770	0.769344	0.10721	1.49366	1.235999	1.313954
PGEN_.00g002780	PGEN_.00g002780	0	0	0	0	0
PGEN_.00g002790	PGEN_.00g002790	1.627923	1.474597	3.721044	1.303518	0
PGEN_.00g002800	PGEN_.00g002800	0	0	0	0.09667	0
PGEN_.00g002810	PGEN_.00g002810	0	0	0	0.365455	0
PGEN_.00g002820	PGEN_.00g002820	0	0	0	0	0
PGEN_.00g002830	PGEN_.00g002830	0.139841	0	0.025236	0.362942	0.537163
PGEN_.00g002840	PGEN_.00g002840	0	0	0	0	0
PGEN_.00g002850	PGEN_.00g002850	362.567711	281.770137	72.258781	66.81383	177.308867
PGEN_.00g002860	PGEN_.00g002860	0	0	0	0	0
PGEN_.00g002870	PGEN_.00g002870	0	0	0	0	0
PGEN_.00g002880	PGEN_.00g002880	0	0	0	0	0
PGEN_.00g002890	PGEN_.00g002890	0	0	0	0	0
PGEN_.00g002900	PGEN_.00g002900	0	0	0	0	0
PGEN_.00g002910	PGEN_.00g002910	0	0	0	0	0
PGEN_.00g002920	PGEN_.00g002920	0	0	0	0	0
PGEN_.00g002930	PGEN_.00g002930	0	0	0	0	0
PGEN_.00g002940	PGEN_.00g002940	7.787329	10.832829	7.91894	7.089743	8.233211
PGEN_.00g002950	PGEN_.00g002950	0	0	0	4.6478	2.434369
